state,district,lab_name,address,phone,email,services,timings,fees,report_time
Uttar Pradesh,Agra,Agra Soil Testing Laboratory,"Department of Agriculture, Agra, Uttar Pradesh",+91-1800-180-1551,soil.agra@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Uttar Pradesh,Varanasi,Varanasi Soil Testing Laboratory,"Department of Agriculture, Varanasi, Uttar Pradesh",+91-1800-180-1551,soil.varanasi@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Uttar Pradesh,Meerut,Meerut Soil Testing Laboratory,"Department of Agriculture, Meerut, Uttar Pradesh",+91-1800-180-1551,soil.meerut@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Uttar Pradesh,Allahabad,Allahabad Soil Testing Laboratory,"Department of Agriculture, Allahabad, Uttar Pradesh",+91-1800-180-1551,soil.allahabad@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Maharashtra,Mumbai,Mumbai Soil Testing Laboratory,"Department of Agriculture, Mumbai, Maharashtra",+91-1800-180-1551,soil.mumbai@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Maharashtra,Pune,Pune Soil Testing Laboratory,"Department of Agriculture, Pune, Maharashtra",+91-1800-180-1551,soil.pune@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Maharashtra,Nagpur,Nagpur Soil Testing Laboratory,"Department of Agriculture, Nagpur, Maharashtra",+91-1800-180-1551,soil.nagpur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Maharashtra,Nashik,Nashik Soil Testing Laboratory,"Department of Agriculture, Nashik, Maharashtra",+91-1800-180-1551,soil.nashik@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Maharashtra,Aurangabad,Aurangabad Soil Testing Laboratory,"Department of Agriculture, Aurangabad, Maharashtra",+91-1800-180-1551,soil.aurangabad@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Maharashtra,Solapur,Solapur Soil Testing Laboratory,"Department of Agriculture, Solapur, Maharashtra",+91-1800-180-1551,soil.solapur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Karnataka,Bangalore,Bangalore Soil Testing Laboratory,"Department of Agriculture, Bangalore, Karnataka",+91-1800-180-1551,soil.bangalore@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Karnataka,Mysore,Mysore Soil Testing Laboratory,"Department of Agriculture, Mysore, Karnataka",+91-1800-180-1551,soil.mysore@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Karnataka,Hubli,Hubli Soil Testing Laboratory,"Department of Agriculture, Hubli, Karnataka",+91-1800-180-1551,soil.hubli@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Karnataka,Belgaum,Belgaum Soil Testing Laboratory,"Department of Agriculture, Belgaum, Karnataka",+91-1800-180-1551,soil.belgaum@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Karnataka,Mangalore,Mangalore Soil Testing Laboratory,"Department of Agriculture, Mangalore, Karnataka",+91-1800-180-1551,soil.mangalore@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Tamil Nadu,Chennai,Chennai Soil Testing Laboratory,"Department of Agriculture, Chennai, Tamil Nadu",+91-1800-180-1551,soil.chennai@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Tamil Nadu,Coimbatore,Coimbatore Soil Testing Laboratory,"Department of Agriculture, Coimbatore, Tamil Nadu",+91-1800-180-1551,soil.coimbatore@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Tamil Nadu,Madurai,Madurai Soil Testing Laboratory,"Department of Agriculture, Madurai, Tamil Nadu",+91-1800-180-1551,soil.madurai@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Tamil Nadu,Salem,Salem Soil Testing Laboratory,"Department of Agriculture, Salem, Tamil Nadu",+91-1800-180-1551,soil.salem@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Soil Testing Laboratory,"Department of Agriculture, Tiruchirappalli, Tamil Nadu",+91-1800-180-1551,soil.tiruchirappalli@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
West Bengal,Kolkata,Kolkata Soil Testing Laboratory,"Department of Agriculture, Kolkata, West Bengal",+91-1800-180-1551,soil.kolkata@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
West Bengal,Darjeeling,Darjeeling Soil Testing Laboratory,"Department of Agriculture, Darjeeling, West Bengal",+91-1800-180-1551,soil.darjeeling@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
West Bengal,Howrah,Howrah Soil Testing Laboratory,"Department of Agriculture, Howrah, West Bengal",+91-1800-180-1551,soil.howrah@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
West Bengal,Siliguri,Siliguri Soil Testing Laboratory,"Department of Agriculture, Siliguri, West Bengal",+91-1800-180-1551,soil.siliguri@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
West Bengal,Durgapur,Durgapur Soil Testing Laboratory,"Department of Agriculture, Durgapur, West Bengal",+91-1800-180-1551,soil.durgapur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Gujarat,Ahmedabad,Ahmedabad Soil Testing Laboratory,"Department of Agriculture, Ahmedabad, Gujarat",+91-1800-180-1551,soil.ahmedabad@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Gujarat,Surat,Surat Soil Testing Laboratory,"Department of Agriculture, Surat, Gujarat",+91-1800-180-1551,soil.surat@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Gujarat,Vadodara,Vadodara Soil Testing Laboratory,"Department of Agriculture, Vadodara, Gujarat",+91-1800-180-1551,soil.vadodara@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Gujarat,Rajkot,Rajkot Soil Testing Laboratory,"Department of Agriculture, Rajkot, Gujarat",+91-1800-180-1551,soil.rajkot@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Gujarat,Bhavnagar,Bhavnagar Soil Testing Laboratory,"Department of Agriculture, Bhavnagar, Gujarat",+91-1800-180-1551,soil.bhavnagar@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Rajasthan,Jaipur,Jaipur Soil Testing Laboratory,"Department of Agriculture, Jaipur, Rajasthan",+91-1800-180-1551,soil.jaipur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Rajasthan,Jodhpur,Jodhpur Soil Testing Laboratory,"Department of Agriculture, Jodhpur, Rajasthan",+91-1800-180-1551,soil.jodhpur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Rajasthan,Udaipur,Udaipur Soil Testing Laboratory,"Department of Agriculture, Udaipur, Rajasthan",+91-1800-180-1551,soil.udaipur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Rajasthan,Kota,Kota Soil Testing Laboratory,"Department of Agriculture, Kota, Rajasthan",+91-1800-180-1551,soil.kota@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Rajasthan,Ajmer,Ajmer Soil Testing Laboratory,"Department of Agriculture, Ajmer, Rajasthan",+91-1800-180-1551,soil.ajmer@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Madhya Pradesh,Bhopal,Bhopal Soil Testing Laboratory,"Department of Agriculture, Bhopal, Madhya Pradesh",+91-1800-180-1551,soil.bhopal@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Madhya Pradesh,Indore,Indore Soil Testing Laboratory,"Department of Agriculture, Indore, Madhya Pradesh",+91-1800-180-1551,soil.indore@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Madhya Pradesh,Gwalior,Gwalior Soil Testing Laboratory,"Department of Agriculture, Gwalior, Madhya Pradesh",+91-1800-180-1551,soil.gwalior@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Madhya Pradesh,Jabalpur,Jabalpur Soil Testing Laboratory,"Department of Agriculture, Jabalpur, Madhya Pradesh",+91-1800-180-1551,soil.jabalpur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Madhya Pradesh,Ujjain,Ujjain Soil Testing Laboratory,"Department of Agriculture, Ujjain, Madhya Pradesh",+91-1800-180-1551,soil.ujjain@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Andhra Pradesh,Visakhapatnam,Visakhapatnam Soil Testing Laboratory,"Department of Agriculture, Visakhapatnam, Andhra Pradesh",+91-1800-180-1551,soil.visakhapatnam@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Andhra Pradesh,Vijayawada,Vijayawada Soil Testing Laboratory,"Department of Agriculture, Vijayawada, Andhra Pradesh",+91-1800-180-1551,soil.vijayawada@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Andhra Pradesh,Guntur,Guntur Soil Testing Laboratory,"Department of Agriculture, Guntur, Andhra Pradesh",+91-1800-180-1551,soil.guntur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Andhra Pradesh,Nellore,Nellore Soil Testing Laboratory,"Department of Agriculture, Nellore, Andhra Pradesh",+91-1800-180-1551,soil.nellore@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Andhra Pradesh,Kurnool,Kurnool Soil Testing Laboratory,"Department of Agriculture, Kurnool, Andhra Pradesh",+91-1800-180-1551,soil.kurnool@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Telangana,Hyderabad,Hyderabad Soil Testing Laboratory,"Department of Agriculture, Hyderabad, Telangana",+91-1800-180-1551,soil.hyderabad@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Telangana,Warangal,Warangal Soil Testing Laboratory,"Department of Agriculture, Warangal, Telangana",+91-1800-180-1551,soil.warangal@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Telangana,Nizamabad,Nizamabad Soil Testing Laboratory,"Department of Agriculture, Nizamabad, Telangana",+91-1800-180-1551,soil.nizamabad@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Telangana,Khammam,Khammam Soil Testing Laboratory,"Department of Agriculture, Khammam, Telangana",+91-1800-180-1551,soil.khammam@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Telangana,Karimnagar,Karimnagar Soil Testing Laboratory,"Department of Agriculture, Karimnagar, Telangana",+91-1800-180-1551,soil.karimnagar@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Bihar,Patna,Patna Soil Testing Laboratory,"Department of Agriculture, Patna, Bihar",+91-1800-180-1551,soil.patna@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Bihar,Gaya,Gaya Soil Testing Laboratory,"Department of Agriculture, Gaya, Bihar",+91-1800-180-1551,soil.gaya@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Bihar,Bhagalpur,Bhagalpur Soil Testing Laboratory,"Department of Agriculture, Bhagalpur, Bihar",+91-1800-180-1551,soil.bhagalpur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Bihar,Muzaffarpur,Muzaffarpur Soil Testing Laboratory,"Department of Agriculture, Muzaffarpur, Bihar",+91-1800-180-1551,soil.muzaffarpur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Bihar,Darbhanga,Darbhanga Soil Testing Laboratory,"Department of Agriculture, Darbhanga, Bihar",+91-1800-180-1551,soil.darbhanga@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Odisha,Bhubaneswar,Bhubaneswar Soil Testing Laboratory,"Department of Agriculture, Bhubaneswar, Odisha",+91-1800-180-1551,soil.bhubaneswar@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Odisha,Cuttack,Cuttack Soil Testing Laboratory,"Department of Agriculture, Cuttack, Odisha",+91-1800-180-1551,soil.cuttack@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Odisha,Rourkela,Rourkela Soil Testing Laboratory,"Department of Agriculture, Rourkela, Odisha",+91-1800-180-1551,soil.rourkela@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Odisha,Puri,Puri Soil Testing Laboratory,"Department of Agriculture, Puri, Odisha",+91-1800-180-1551,soil.puri@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Odisha,Sambalpur,Sambalpur Soil Testing Laboratory,"Department of Agriculture, Sambalpur, Odisha",+91-1800-180-1551,soil.sambalpur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Kerala,Thiruvananthapuram,Thiruvananthapuram Soil Testing Laboratory,"Department of Agriculture, Thiruvananthapuram, Kerala",+91-1800-180-1551,soil.thiruvananthapuram@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Kerala,Kochi,Kochi Soil Testing Laboratory,"Department of Agriculture, Kochi, Kerala",+91-1800-180-1551,soil.kochi@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Kerala,Kozhikode,Kozhikode Soil Testing Laboratory,"Department of Agriculture, Kozhikode, Kerala",+91-1800-180-1551,soil.kozhikode@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Kerala,Thrissur,Thrissur Soil Testing Laboratory,"Department of Agriculture, Thrissur, Kerala",+91-1800-180-1551,soil.thrissur@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
Kerala,Kollam,Kollam Soil Testing Laboratory,"Department of Agriculture, Kollam, Kerala",+91-1800-180-1551,soil.kollam@agri.gov.in,"NPK Testing, pH Analysis, Micronutrient Testing, Soil Health Card",Monday-Friday: 9:00 AM - 5:00 PM,Free for farmers with Soil Health Card,7-10 days
